Chamber,Name,District,Party,County,Email,ga_num,link,person_id
House,Phil Thompson,48,Republican,Boone,phil.thompson@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=27028,27028
House,Charley Thomson,58,Republican,Floyd,charley.thomson@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=33983,33983
House,Josh Turek,20,Democrat,Pottawattamie,josh.turek@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=33969,33969
House,Mike Vondran,94,Republican,Scott,mike.vondran@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=33996,33996
House,Beth Wessel-Kroeschell,49,Democrat,Story,beth.wessel-kroeschell@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=774,774
House,Skyler Wheeler,4,Republican,Sioux,skyler.wheeler@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=18040,18040
House,Ross Wilburn,50,Democrat,Story,ross.wilburn@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=28701,28701
House,John H. Wills,10,Republican,Dickinson,john.wills@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=13794,13794
House,Elizabeth Wilson,73,Democrat,Linn,elizabeth.wilson@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=33985,33985
House,Hans C. Wilz,25,Republican,Wapello,hans.wilz@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=33970,33970
House,Matt W. Windschitl,15,Republican,Harrison,matt.windschitl@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=6282,6282
House,Devon Wood,17,Republican,Taylor,devon.wood@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=33968,33968
House,Derek Wulf,76,Republican,Black Hawk,derek.wulf@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=33986,33986
House,David Young,28,Republican,Dallas,david.young@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=33972,33972
House,Adam Zabner,90,Democrat,Johnson,adam.zabner@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=33993,33993
Senate,Kevin Alons,7,Republican,Woodbury,kevin.alons@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=33999,33999
Senate,Liz Bennett,39,Democrat,Linn,liz.bennett@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=34000,34000
Senate,Tony Bisignano,15,Democrat,Polk,tony.bisignano@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=906,906
Senate,Nate Boulton,20,Democrat,Polk,nate.boulton@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=18073,18073
Senate,Mike Bousselot,21,Republican,Polk,mike.bousselot@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=32076,32076
Senate,Waylon Brown,30,Republican,Mitchell,waylon.brown@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=18074,18074
Senate,Claire Celsi,16,Democrat,Polk,claire.celsi@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=27000,27000
Senate,Mark Costello,8,Republican,Mills,mark.costello@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=10749,10749
Senate,Chris Cournoyer,35,Republican,Scott,chris.cournoyer@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=27004,27004
Senate,Dan Dawson,10,Republican,Pottawattamie,dan.dawson@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=18072,18072
Senate,Rocky De Witt,1,Republican,Woodbury,rocky.dewitt@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=34001,34001
Senate,Adrian Dickey,44,Republican,Jefferson,adrian.dickey@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=31094,31094
Senate,Molly Donahue,37,Democrat,Linn,molly.donahue@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=27031,27031
Senate,William A. Dotzler Jr.,31,Democrat,Black Hawk,bill.dotzler@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=157,157
Senate,Dawn Driscoll,46,Republican,Iowa,dawn.driscoll@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=30548,30548
Senate,Jeff Edler,26,Republican,Marshall,jeff.edler@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=18076,18076
Senate,Lynn Evans,3,Republican,Cherokee,lynn.evans@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=34008,34008
Senate,Julian B. Garrett,11,Republican,Warren,julian.garrett@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=9404,9404
Senate,Eric Giddens,38,Democrat,Black Hawk,eric.giddens@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=28254,28254
Senate,Jesse Green,24,Republican,Boone,jesse.green@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=30546,30546
Senate,Kerry Gruenhagen,41,Republican,Scott,kerry.gruenhagen@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=34009,34009
Senate,Dennis Guth,28,Republican,Hancock,dennis.guth@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=10726,10726
Senate,Pam Jochum,36,Democrat,Dubuque,pam.jochum@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=35,35
Senate,Mike Klimesh,32,Republican,Winneshiek,mike.klimesh@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=30547,30547
Senate,Izaah Knox,17,Democrat,Polk,izaah.knox@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=34010,34010
Senate,Carrie Koelker,33,Republican,Dubuque,carrie.koelker@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=27001,27001
Senate,Tim Kraayenbrink,4,Republican,Webster,tim.kraayenbrink@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=14812,14812
Senate,Mark S. Lofgren,48,Republican,Muscatine,mark.lofgren@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=9406,9406
Senate,Charlie McClintock,42,Republican,Linn,charlie.mcclintock@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=30657,30657
Senate,Janet Petersen,18,Democrat,Polk,janet.petersen@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=72,72
Senate,Herman C. Quirmbach,25,Democrat,Story,herman.quirmbach@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=161,161
Senate,Jeff Reichman,50,Republican,Lee,jeff.reichman@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=30549,30549
Senate,David D. Rowley,5,Republican,Dickinson,david.rowley@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=32458,32458
Senate,Ken Rozenboom,19,Republican,Marion,ken.rozenboom@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=10731,10731
Senate,Sandy Salmon,29,Republican,Bremer,sandy.salmon@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=10754,10754
Senate,Jason Schultz,6,Republican,Crawford,jason.schultz@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=6588,6588
Senate,Tom Shipley,9,Republican,Adams,tom.shipley@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=14814,14814
Senate,Amy Sinclair,12,Republican,Wayne,amy.sinclair@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=10729,10729
Senate,Annette Sweeney,27,Republican,Hardin,annette.sweeney@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=6585,6585
Senate,Jeff Taylor,2,Republican,Sioux,jeff.taylor@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=30544,30544
Senate,Todd E. Taylor,40,Democrat,Linn,todd.taylor@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=54,54
Senate,Sarah Trone Garriott,14,Democrat,Dallas,sarah.trone.garriott@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=30551,30551
Senate,Zach Wahls,43,Democrat,Johnson,zach.wahls@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=27002,27002
Senate,Scott Webster,47,Republican,Scott,scott.webster@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=13574,13574
Senate,Janice Weiner,45,Democrat,Johnson,janice.weiner@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=34011,34011
Senate,Cherielynn Westrich,13,Republican,Wapello,cherielynn.westrich@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=30654,30654
Senate,Jack Whitver,23,Republican,Polk,jack.whitver@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=9768,9768
Senate,Cindy Winckler,49,Democrat,Scott,cindy.winckler@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=44,44
Senate,Brad Zaun,22,Republican,Polk,brad.zaun@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=788,788
Senate,Dan Zumbach,34,Republican,Delaware,dan.zumbach@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=10733,10733
