chamber,name,district,party,county,email,ga_num,start_date,end_date,link,person_id
House,Dave Deyoe,49,Republican,Story,dave.deyoe@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=6289,6289
House,Pat Grassley,50,Republican,Butler,pat.grassley@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=6277,6277
House,Jane Bloomingdale,51,Republican,Worth,Jane.Bloomingdale@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=18043,18043
House,Todd Prichard,52,Democrat,Floyd,todd.prichard@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=12235,12235
House,Sharon Sue Steckman,53,Democrat,Cerro Gordo,sharon.steckman@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=6580,6580
House,Shannon Latham,54,Republican,Franklin,Shannon.Latham@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=30651,30651
House,Michael R. Bergan,55,Republican,Winneshiek,Michael.Bergan@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=18044,18044
House,Anne Osmundson,56,Republican,Clayton,Anne.Osmundson@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=27029,27029
House,Shannon Lundgren,57,Republican,Dubuque,Shannon.Lundgren@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=18046,18046
House,Steven P. Bradley,58,Republican,Jones,Steven.Bradley@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=30652,30652
House,Bob Kressig,59,Democrat,Black Hawk,bob.kressig@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=781,781
House,Dave Williams,60,Democrat,Black Hawk,Dave.Williams@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=27030,27030
House,Timi Brown-Powers,61,Democrat,Black Hawk,Timi.Brown-Powers@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=14805,14805
House,RasTafari Smith,62,Democrat,Black Hawk,Ras.Smith@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=18048,18048
House,Sandy Salmon,63,Republican,Black Hawk,sandy.salmon@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=10754,10754
House,Chad Ingels,64,Republican,Fayette,Chad.Ingels@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=30653,30653
House,Liz Bennett,65,Democrat,Linn,Liz.Bennett@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=14806,14806
House,Art Staed,66,Democrat,Linn,art.staed@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=10743,10743
House,Eric Gjerde,67,Democrat,Linn,Eric.Gjerde@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=30659,30659
House,Molly Donahue,68,Democrat,Linn,Molly.Donahue@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=27031,27031
House,Kirsten Running-Marquardt,69,Democrat,Linn,kirsten.running-marquardt@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=9198,9198
House,Tracy Ehlert,70,Democrat,Linn,Tracy.Ehlert@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=27032,27032
House,Sue Cahill,71,Democrat,Marshall,Sue.Cahill@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=30660,30660
House,Dean Fisher,72,Republican,Tama,dean.fisher@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=10755,10755
House,Bobby Kaufmann,73,Republican,Cedar,bobby.kaufmann@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=10756,10756
House,Dave Jacoby,74,Democrat,Johnson,david.jacoby@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=320,320
House,Thomas D. Gerhold,75,Republican,Benton,Thomas.Gerhold@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=27033,27033
House,David E. Maxwell,76,Republican,Poweshiek,dave.maxwell@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=10757,10757
House,Amy Nielsen,77,Democrat,Johnson,Amy.Nielsen@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=18050,18050
House,Jarad J. Klein,78,Republican,Washington,jarad.klein@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=9408,9408
House,Dustin D. Hite,79,Republican,Mahaska,Dustin.Hite@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=27034,27034
House,Holly Brink,80,Republican,Mahaska,Holly.Brink@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=27035,27035
House,Cherielynn Westrich,81,Republican,Wapello,Cherielynn.Westrich@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=30654,30654
House,Jeff Shipley,82,Republican,Van Buren,Jeff.Shipley@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=27036,27036
House,Martin L. Graber,83,Republican,Lee,Martin.Graber@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=30655,30655
House,Joe Mitchell,84,Republican,Henry,Joe.Mitchell@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=27038,27038
House,Christina Bohannan,85,Democrat,Johnson,Christina.Bohannan@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=30661,30661
House,Mary Mascher,86,Democrat,Johnson,mary.mascher@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=46,46
House,Dennis M. Cohoon,87,Democrat,Des Moines,dennis.cohoon@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=100,100
House,David Kerr,88,Republican,Louisa,David.Kerr@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=18051,18051
House,Monica Kurth,89,Democrat,Scott,Monica.Kurth@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=18614,18614
House,Cindy Winckler,90,Democrat,Scott,cindy.winckler@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=44,44
House,Mark Cisneros,91,Republican,Muscatine,Mark.Cisneros@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=30656,30656
House,Ross C. Paustian,92,Republican,Scott,Ross.Paustian@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=9407,9407
House,Phyllis Thede,93,Democrat,Scott,phyllis.thede@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=6577,6577
House,Gary M. Mohr,94,Republican,Scott,Gary.Mohr@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=18038,18038
House,Charlie McClintock,95,Republican,Linn,Charlie.McClintock@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=30657,30657
House,Lee Hein,96,Republican,Jones,lee.hein@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=9398,9398
House,Norlin Mommsen,97,Republican,Clinton,Norlin.Mommsen@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=14810,14810
House,Mary Lynn Wolfe,98,Democrat,Clinton,mary.wolfe@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=9397,9397
House,Lindsay James,99,Democrat,Dubuque,Lindsay.James@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=27039,27039
House,Charles Isenhart,100,Democrat,Dubuque,charles.isenhart@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=6575,6575
House,John H. Wills,1,Republican,Dickinson,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=13794,13794
House,Megan Jones,2,Republican,Clay,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=10747,10747
House,Daniel Adair Huseman,3,Republican,Cherokee,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=10,10
House,Skyler Wheeler,4,Republican,Sioux,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=18040,18040
House,Tom Jeneary,5,Republican,Plymouth,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=27018,27018
House,Jacob Bossman,6,Republican,Woodbury,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=25497,25497
House,Tedd Gassman,7,Republican,Winnebago,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=10748,10748
House,Terry C. Baxter,8,Republican,Hancock,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=13796,13796
House,Ann Meyer,9,Republican,Webster,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=27019,27019
House,Mike Sexton,10,Republican,Calhoun,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=1153,1153
House,Gary Worthan,11,Republican,Buena Vista,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=6324,6324
House,Brian Best,12,Republican,Carroll,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=14800,14800
House,Chris Hall,13,Democrat,Woodbury,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=9388,9388
House,Timothy Kacena,14,Democrat,Woodbury,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=18042,18042
House,Charlie McConkey,15,Democrat,Pottawattamie,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=14801,14801
House,Mary Ann Hanusa,16,Republican,Pottawattamie,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=9412,9412
House,Matt W. Windschitl,17,Republican,Harrison,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=6282,6282
House,Steven Holt,18,Republican,Crawford,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=14802,14802
House,Chris Hagenow,19,Republican,Dallas,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=6584,6584
House,Ray Sorensen,20,Republican,Adair,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=27020,27020
House,Tom Moore,21,Republican,Cass,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=17112,17112
House,Jon Jacobsen,22,Republican,Pottawattamie,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=22321,22321
House,David Sieck,23,Republican,Mills,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=15920,15920
House,Cecil Dolecheck,24,Republican,Ringgold,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=88,88
House,Stan Gustafson,25,Republican,Madison,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=12712,12712
House,Scott D. Ourth,26,Democrat,Warren,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=10742,10742
House,Joel Fry,27,Republican,Clarke,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=9409,9409
House,Jon Thorup,28,Republican,Marion,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=27021,27021
House,Wes Breckenridge,29,Democrat,Jasper,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=18033,18033
House,Brian K. Lohse,30,Republican,Polk,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=27022,27022
House,Rick L. Olson,31,Democrat,Polk,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=776,776
House,Ruth Ann Gaines,32,Democrat,Polk,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=9413,9413
House,Brian Meyer,33,Democrat,Polk,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=6377,6377
House,Bruce Hunter,34,Democrat,Polk,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=317,317
House,Ako Abdul-Samad,35,Democrat,Polk,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=6284,6284
House,Marti Anderson,36,Democrat,Polk,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=10736,10736
House,John Landon,37,Republican,Polk,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=10751,10751
House,Heather Matson,38,Democrat,Polk,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=27023,27023
House,Karin Derry,39,Democrat,Polk,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=27024,27024
House,John Forbes,40,Democrat,Polk,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=10739,10739
House,Jo Oldson,41,Democrat,Polk,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=228,228
House,Kristin Sunde,42,Democrat,Polk,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=27025,27025
House,Jennifer Konfrst,43,Democrat,Polk,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=27026,27026
House,Kenan Judge,44,Democrat,Dallas,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=27027,27027
House,Beth Wessel-Kroeschell,45,Democrat,Story,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=774,774
House,Lisa Heddens,46,Democrat,Story,NA,88,2019-01-14,2019-06-17,/legislators/legislator?ga=88&personID=213,213
House,Ross Wilburn,46,Democrat,Story,NA,88,2019-06-18,2021-01-10,/legislators/legislator?ga=88&personID=28701,28701
House,Phil Thompson,47,Republican,Greene,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=27028,27028
House,Robert P. Bacon,48,Republican,Story,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=9384,9384
House,Dave Deyoe,49,Republican,Story,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=6289,6289
House,Pat Grassley,50,Republican,Butler,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=6277,6277
House,Jane Bloomingdale,51,Republican,Worth,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=18043,18043
House,Todd Prichard,52,Democrat,Floyd,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=12235,12235
House,Sharon S. Steckman,53,Democrat,Cerro Gordo,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=6580,6580
House,Linda L. Upmeyer,54,Republican,Cerro Gordo,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=180,180
House,Michael R. Bergan,55,Republican,Winneshiek,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=18044,18044
House,Anne Osmundson,56,Republican,Clayton,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=27029,27029
House,Shannon Lundgren,57,Republican,Dubuque,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=18046,18046
House,Andy McKean,58,Democrat,Jones,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=1073,1073
House,Bob Kressig,59,Democrat,Black Hawk,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=781,781
House,Dave Williams,60,Democrat,Black Hawk,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=27030,27030
House,Timi Brown-Powers,61,Democrat,Black Hawk,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=14805,14805
House,RasTafari I. Smith,62,Democrat,Black Hawk,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=18048,18048
House,Sandy Salmon,63,Republican,Black Hawk,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=10754,10754
House,Bruce Bearinger,64,Democrat,Fayette,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=10738,10738
House,Liz Bennett,65,Democrat,Linn,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=14806,14806
House,Art Staed,66,Democrat,Linn,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=10743,10743
House,Ashley Hinson,67,Republican,Linn,NA,88,2019-01-14,2021-01-02,/legislators/legislator?ga=88&personID=18049,18049
House,Molly Donahue,68,Democrat,Linn,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=27031,27031
House,Kirsten Running-Marquardt,69,Democrat,Linn,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=9198,9198
House,Tracy Ehlert,70,Democrat,Linn,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=27032,27032
House,Mark Smith,71,Democrat,Marshall,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=64,64
House,Dean Fisher,72,Republican,Tama,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=10755,10755
House,Bobby Kaufmann,73,Republican,Cedar,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=10756,10756
House,Dave Jacoby,74,Democrat,Johnson,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=320,320
House,Thomas D. Gerhold,75,Republican,Benton,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=27033,27033
House,David E. Maxwell,76,Republican,Poweshiek,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=10757,10757
House,Amy Nielsen,77,Democrat,Johnson,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=18050,18050
House,Jarad Klein,78,Republican,Washington,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=9408,9408
House,Dustin D. Hite,79,Republican,Mahaska,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=27034,27034
House,Holly Brink,80,Republican,Mahaska,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=27035,27035
House,Mary A. Gaskill,81,Democrat,Wapello,NA,88,2019-01-14,2021-01-01,/legislators/legislator?ga=88&personID=255,255
House,Jeff Shipley,82,Republican,Van Buren,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=27036,27036
House,Jeff Kurtz,83,Democrat,Lee,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=27037,27037
House,Joe Mitchell,84,Republican,Henry,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=27038,27038
House,Vicki Lensing,85,Democrat,Johnson,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=45,45
House,Mary Mascher,86,Democrat,Johnson,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=46,46
House,Dennis M. Cohoon,87,Democrat,Des Moines,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=100,100
House,David Kerr,88,Republican,Louisa,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=18051,18051
House,Monica Kurth,89,Democrat,Scott,NA,88,2019-01-14,2021-01-10,/legislators/legislator?ga=88&personID=18614,18614
